LAKE_ID,SAMPLE_NAME
1301CHA0341A,18LHB043
1301CHA0341A,18LHB044
1306HIG0492,18LHB045
1306HIG0492,18LHB046
1306MON0598,18LHB047
1306MON0598,18LHB048
1306SHA0491,18LHB049
1306SHA0491,18LHB050
0501LOW0021,18CMG007
0501MIL0016,18CMG011
0501UWB5107,18CMG001
0502BIR5140,18CMG003
0502SAN0043,18CMG015
0502SAN0043,18CMG016
0502UWB5192,18CMG013
0503ERW0023B,18CMG005
0503ERW0023B,18CMG006
0503UWB5183,18CMG009
1101TRO0459,18LHB033
1101TRO0459,18LHB034
1301COX6780,18LHB011
1301COX6780,18LHB012
1309HOL0913,18LHB019
1309HOL0913,18LHB020
1301PUD5194,18LHB027
1301UWB0420B,18LHB013
1308WILXXX1A,18LHB037
1310SUT0052,18LHB031
1301CHO0437,18LHB009
1301CHO0437,18LHB010
1303GOSXXX1,18LHB017
1303GOSXXX1,18LHB018
1305WAP0365,18LHB035
1306MIL0515,18LHB023
1306UWB6107,18LHB039
1301POC0030,18LHB025
1302CAS0059B,18LHB041
1304BEA0345A,18LHB003
0801LON0922,18BLK005
0801LON0922,18BLK006
0801WHE5670,18BLK011
0801WOO0982,18BLK013
0801WOO0982,18BLK014
0801BUG0789,18BLK001
0801BUG0789,18BLK002
0801EIG0790,18BLK003
0801EIG0790,18BLK004
0903LBR0316,18BLK007
0903LBR0316,18BLK008
1301REN0336,18LHB029
1301REN0336,18LHB030
1309BAS0950A,18LHB001
1310KIN0024,18LHB021
1310KIN0024,18LHB022
0502BIR5140,18CMG103
0502SAN0043,18CMG115
0502SAN0043,18CMG116
0502UWB5192,18CMG113
0503ERW0023B,18CMG105
0503ERW0023B,18CMG106
0501LOW0021,18CMG107
0501MIL0016,18CMG111
0501UWB5107,18CMG101
0503UWB5183,18CMG109
1301CHA0341A,18LHB143
1306HIG0492,18LHB145
1306MON0598,18LHB147
1306SHA0491,18LHB149
1101TRO0459,18LHB133
1101TRO0459,18LHB134
1301CHO0437,18LHB109
1301CHO0437,18LHB110
1301COX6780,18LHB111
1301COX6780,18LHB112
1303GOSXXX1,18LHB117
1303GOSXXX1,18LHB118
1306BIN0735,18LHB005
1306BIN0735,18LHB105
1306MIL0515,18LHB123
1306UWB6107,18LHB139
1309HOL0913,18LHB119
1309HOL0913,18LHB120
1301POC0030,18LHB125
1301POC0030,18LHB126
1301PUD5194,18LHB127
1301REN0336,18LHB129
1301REN0336,18LHB130
1302CAS0059B,18LHB141
1304BEA0345A,18LHB103
1304BEA0345A,18LHB104
1309BAS0950A,18LHB101
1310KIN0024,18LHB121
1310KIN0024,18LHB122
1301UWB0420B,18LHB113
1305WAP0365,18LHB135
1308WILXXX1A,18LHB137
1310SUT0052,18LHB131
0801LON0922,18BLK105
0801LON0922,18BLK106
0801WHE5670,18BLK111
0801WOO0982,18BLK113
0801WOO0982,18BLK114
0801BUG0789,18BLK101
0801BUG0789,18BLK102
0801EIG0790,18BLK103
0801EIG0790,18BLK104
0903LBR0316,18BLK107
0903LBR0316,18BLK108
1702UWB5331,18LIS005
1702UWB0105,18LIS021
1702KIS0076,18LIS025
1702OAK0107,18LIS035
1702ALLXXX1,18LIS001
1702CLO1074,18LIS013
1702OHR1069B,18LIS037
1702OHR1069B,18LIS038
1702WIL1063A,18LIS059
1301MORXXX1,18LIS033
1301THE1027,18LIS053
1301THE1034,18LIS055
1301UWB1031,18LIS057
0601ARN0362,18SRB001
0601ARN0362,18SRB002
0601GIL0287,18SRB003
0601GIL0287,18SRB004
0601GOE0378,18SRB005
0601GOE0378,18SRB006
1702BRY1106,18LIS009
1702BRY1106,18LIS010
1702SHE1087,18LIS047
1702PAI1082,18LIS071
1702GLE1070,18LIS019
1702GLE1070,18LIS020
1702IND5821,18LIS023
1702PEL1072,18LIS041
0502BIR5140,18CMG203
0502SAN0043,18CMG215
0502SAN0043,18CMG216
0502UWB5192,18CMG213
0503ERW0023B,18CMG205
0503ERW0023B,18CMG206
1701AVO0961,18LIS003
1701GRE0885,18LIS063
0501LOW0021,18CMG207
0501MIL0016,18CMG211
0501UWB5107,18CMG201
0503UWB5183,18CMG209
1701DON0565A,18LIS017
1701PECXXX1,18LIS039
1701LAU0496,18LIS065
1701LAU0496,18LIS066
1701MAR0495,18LIS067
1701PEC0555,18LIS069
1306HIG0492,18LHB245
1306HIG0492,18LHB246
1306KINXXX1,18LHB251
1306MON0598,18LHB247
1306MON0598,18LHB248
1306SHA0491,18LHB249
1306SHA0491,18LHB250
1701MAI0907,18LIS027
1702UWB0340A,18LIS045
1701LOW0855,18LIS061
1301CHO0437,18LHB209
1301CHO0437,18LHB210
1301COX6780,18LHB211
1301COX6780,18LHB212
1303GOSXXX1,18LHB217
1303GOSXXX1,18LHB218
1306BIN0735,18LHB205
1306MIL0515,18LHB223
1306UWB6107,18LHB239
1309HOL0913,18LHB219
1309HOL0913,18LHB220
1310KIN0024,18LHB221
1310KIN0024,18LHB222
1301CHA0341A,18LHB243
1301CHA0341A,18LHB244
1301POC0030,18LHB225
1301PUD5194,18LHB227
1302CAS0059B,18LHB241
1304BEA0345A,18LHB203
1304BEA0345A,18LHB204
1101TRO0459,18LHB233
1101TRO0459,18LHB234
1301REN0336,18LHB229
1301REN0336,18LHB230
1301UWB0420B,18LHB213
1305WAP0365,18LHB235
1308WILXXX1A,18LHB237
1309BAS0950A,18LHB201
1310SUT0052,18LHB231
0801LON0922,18BLK205
0801LON0922,18BLK206
0801WHE5670,18BLK211
0801WOO0982,18BLK213
0801WOO0982,18BLK214
0801BUG0789,18BLK201
0801BUG0789,18BLK202
0801EIG0790,18BLK203
0801EIG0790,18BLK204
0903LBR0316,18BLK207
0903LBR0316,18BLK208
1003FRA5095,18LCB007
1003LSA0104,18LCB017
1004MIL0318,18LCB019
1003MOO0083,18LCB021
1004RUS0316,18LCB025
0902BAR0262,18LCB001
1005BAR0338,18LCB003
1006CRA0380,18LCB005
1006JAB0394,18LCB009
1003COL0106,18LCB011
1003KUS0055,18LCB013
1005PEN0351A,18LCB023
0502BIR5140,18CMG303
0502SAN0043,18CMG315
0502UWB5192,18CMG313
0503ERW0023B,18CMG305
1301CHA0341A,18LHB343
1306HIG0492,18LHB345
1306MON0598,18LHB347
1306SHA0491,18LHB349
0501LOW0021,18CMG307
0501MIL0016,18CMG311
0501UWB5107,18CMG301
0503UWB5183,18CMG309
0603GREXXX1,18SRB009
0602GLO0040,18SRB011
0602ROU0082,18SRB017
0602WHA5659,18SRB023
1301CHO0437,18LHB309
1301COX6780,18LHB311
1301COX6780,18LHB312
1303GOSXXX1,18LHB317
1303GOSXXX1,18LHB318
1306BIN0735,18LHB305
1306MIL0515,18LHB323
1306UWB6107,18LHB339
1309HOL0913,18LHB319
1309HOL0913,18LHB320
1310KIN0024,18LHB321
1310KIN0024,18LHB322
1701REE0763,18LIS073
1701FRE0753,18LIS075
1101TRO0459,18LHB333
1101TRO0459,18LHB334
1301POC0030,18LHB325
1301PUD5194,18LHB327
1301REN0336,18LHB329
1301REN0336,18LHB330
1302CAS0059B,18LHB341
1304BEA0345A,18LHB303
1304BEA0345A,18LHB304
1309BAS0950A,18LHB301
1301UWB0420B,18LHB313
1305WAP0365,18LHB335
1308WILXXX1A,18LHB337
1310SUT0052,18LHB331
0801BUG0789,18BLK301
0801EIG0790,18BLK303
0903LBR0316,18BLK307
0602SHA5677,18SRB019
0602SPR0050A,18SRB021
0801LON0922,18BLK305
0801WHE5670,18BLK311
0801WOO0982,18BLK313
