LakeNum,LakeName,County,Town,LakeID,Y_Coordinate,X_Coordinate,Field4,Field5,Y_Coordinate_1,X_Coordinate_1,Field8,DEC_Region
87,Lake Oscawana,Putnam,Putnam Valley,1301OSC0175,41.396,-73.8488,,,,,,
116,Lake Ossi,Putnam,Carmel,1301OSS0183D,41.4159,-73.7605,,,,,,
73,Lake Peekskill,Putnam,Putnam Valley,1301PEE0171,41.3395,-73.8828,,,,,,
88,Lake Placid,Essex,North Elba,1004PLA0254,44.3252,-73.9592,,,,,,
240,Lake Pleasant,Hamilton,Lake Pleasant,1104PLE0313,43.4872,-74.3638,,,,,,
204,Lake Rippowam,Westchester,South Salem,1302RIP0119,41.3001,-73.5628,,,,,,
133,Lake Salubria,Steuben,Bath,0502SAL0051,42.3293,-77.2929,,,,,,
166,Lake Sunnyside,Warren,Queensbury,1005SUN0440,43.3753,-73.6397,,,,,,
,Lake Superior,Sullivan,Bethel,1401SUP0104,41.6656,-74.8766,,,,,,
1005,Lake Taghanic,Columbia,Gallatin,1308TAG0869,42.0912,-73.7095,,,,,,
,Lake Temalo,Oswego,Schroeppel,0703TEM0017,43.284,-76.2595,,,,,,
93,Lake Tibet,Putnam,Kent,1301TIB0183E,41.4512,-73.7782,,,,,,
161,Lake Titus,Franklin,Malone,0902TIT0028,44.7248,-74.2822,,,,,,
,Lake Treman,Tompkins,Ithaca,0705TRE0347A,42.3986,-76.5113,,,,,,
4,Lake Waccabuc,Westchester,South Salem,1302WAC0117,41.2977,-73.5841,,,,,,
94,Lake Wanaksink,Sullivan,Thompson,1402WAN0053,41.6198,-74.5647,,,,,,
,Lake Washington,Orange,New Windsor,1303WAS0225,41.4919,-74.0692,,,,,,
48,Lamoka Lake,Schulyer,Tyrone,0502LAM0047,42.4058,-77.0778,,,,,,
233,Laurel Lake,Broome,Sanford,1404LAU0382,42.0104,-75.4803,,,,,,
,Lawson Lake,Albany,Feura Bush,1301LAW0207,42.5391,-73.9599,,,,,,
38,Lebanon Reservoir,Madison,Lebanon,0602LEB0153,42.8029,-75.6069,,,,,,
97,Leland Pond,Madison,Eaton,0602LLE1052,42.8727,-75.5733,,,,,,
219,Lily Pond,Suffolk,Southhampton,1701LIL0779,40.9383,-72.2129,,,,,,
134,Lime Lake,Cattaraugus,Machias,0104LIM0130,42.4274,-78.4792,,,,,,
,Limekiln Lake,Hamilton,Inlet,0801LIM0826,43.7126,-74.7995,,,,,,
135,Lincoln Pond,Essex,Elizabethtown,1004LIN0315,44.1299,-73.5805,,,,,,
,Linlyco Pond,Cattaraugus,New Albion,0201LIN0097A,42.2731,-78.8305,,,,,,
58,Little Fresh Pond,Suffolk,Southhampton,1701LFR0662,40.9182,-72.4085,,,,,,
210,Little Long Pond,Suffolk,Southampton,1701LLO0708,40.9776,-72.2962,,,,,,
43,Little Sodus Bay,Cayuga,Fair Haven,0302LSO0076,43.3305,-76.7092,,,,,,
221,Little We Wah Lake,Orange,Tuxedo,1501UWB1006,41.2117,-74.1994,,,,,,
148,Little Wolf Lake,Franklin,Tupper Lake,0903LWO0095,44.2534,-74.4792,,,,,,
,Long Lake,Oneida,Forestburg,0801LON0922,43.5527,-75.1559,,,,,,
,Long Pond,Chenango,Smithville,0602LON0083,42.4202,-75.8481,,,,,,
249,Long Pond,Columbia,Ancram,1308LONXXX1,42.0691,-73.5912,,,,,,
,Long Pond,Monroe,Rochester,0301LON0154,43.2929,-77.6858,,,,,,
1001,Long Pond,Rensselaer,Grafton,1301LON0428,42.7921,-73.4387,,,,,,
209,Long Pond,Suffolk,Southampton,1701LON0800,40.9352,-72.3228,,,,,,
136,Loon Lake,Steuben,Wayland,0404LOO0079,42.4926,-77.5669,,,,,,
10,Loon Lake,Warren,Chestertown,1104LOO0367,43.6671,-73.8479,,,,,,
72,Lorton Lake,Oswego,Albion,0303LOR0009,43.5037,-75.8908,,,,,,
,Lowe Pond,Chemung,Big Flats,0501LOW0021,42.146,-76.9118,,,,,,
,Lower Browns Tract Pond,Hamilton,"Inlet, Long Lake",0903LBR0316,43.8095,-74.6989,,,,,,
63,Lower Cassadaga Lake,Chautauqua,Pomfret,0202LCA0133,42.3455,-79.3173,,,,,,
79,Lower Chateaugay Lake,Franklin,Chateaugay,0902LCH0006,44.819,-74.0186,,,,,,
250,Lower Rhoda Lake,Columbia,"Ancram, Copake",1308LRH0888,42.0794,-73.5941,,,,,,
172,Lower St. Regis Lake,Franklin,Harrietstown,0902LSA0257A,44.4294,-74.2559,,,,,,
47,Madison Lake,Madison,Madison,1204MAD1051,42.9016,-75.5241,,,,,,
163,Mariaville Lake,Schenectady,Duanesburg,1201MAR0570,42.8337,-74.1119,,,,,,
173,Mayfield Lake,Fulton,Mayfield,1104MAYXXX1,43.0961,-74.2645,,,,,,
,Mayham Pond,,,,,,,,,,,
,McCarthy Hill Forest Pond,Steuben,Tuscarora,0503UWB5183,42.0875,-77.2091,,,,,,
,Meadow Lake,Queens,Queens,1702MEA0100A,40.7353,-73.8411,,,,,,
31,Melody Lake,Cortland,Willet,0602MEL0039,42.4703,-75.8741,,,,,,
,Middle Cassadaga Lake,Chautauqua,,0202MCA0135,42.3467,-79.3258,,,,,,
,Mill Pond,Genesee,Byron,0402MIL0016,43.0839,-78.0558,,,,,,
,Mill Pond,Orange,Mount Hope,1306MIL0515,41.4389,-74.5353,,,,,,
,Miller Pond,Chemung,Ashland,0501MIL0016,42.0714,-76.7922,,,,,,
,Miller Lake (Madison?),,,,,,,,,,,
,Millers Pond,Suffolk,Smithtown,1702MIL0296,40.8457,-73.1957,,,,,,
137,Millsite Lake,Jefferson,Theresa,0906MIL0055,44.2922,-75.7675,,,,,,
149,Mirror Lake,Essex,Lake Placid,1004MIR0250,44.289,-73.9821,,,,,,
150,Mohegan Lake,Westchester,Yorktown,1301MOH0179,41.314,-73.8488,,,,,,
186,Monhagen Lake,Orange,Wallkill,1306MON0598,41.4584,-74.4542,,,,,,
236,Montgomery Lake,Sullivan,Highland,1401MON0186,41.5253,-74.9173,,,,,,
98,Moon Lake,Jefferson,Theresa,0905MOO0071,44.2543,-75.7324,,,,,,
1003,Moreau Lake,Saratoga,Moreau,1101MOR0101,43.2313,-73.7119,,,,,,
,Morningside Lake,Sullivan,Fallsburg,1402MOR0050,41.7512,-74.651,,,,,,
,Mosher Pond,Oswego,Altmar,0303MOS0031A,43.4664,-76.0037,,,,,,
,Mossy Bank Park Pond,Steuben,Bath,0502UWB5192,42.3178,-77.3261,,,,,,
151,Mountain Lake,Fulton,Gloversville,1201MOU0691,43.1065,-74.37,,,,,,
85,Mountain View Lake,Franklin,Belmont,0902MOU0050,44.6989,-74.1268,,,,,,
,Mud Lake,Onondaga,Baldwinsville,0701MUD0013,43.1812,-76.4095,,,,,,
,Murphy Pond,Saratoga,Clifton Park,1201UWB0503,42.8435,-73.8095,,,,,,
6,Nassau Lake,Rensselaer,Nassau,1310NAS0034,42.5381,-73.6038,,,,,,
,New Albion Lake,Cattaraugus,New Albion,0202NEW5669,42.2998,-78.9097,,,,,,
,Newark Reservoir,Ontario,,0704NEW0273,42.9347,-77.0933,,,,,,
,Nicks Lake,Herkimer,Webb,0801NIC0804,43.6736,-74.9926,,,,,,
19,North Sandy Pond,Oswego,Sandy Creek,0303NOR1041,43.643,-76.1851,,,,,,
,Nunda Reservoir,Livingston,Dalton,0404NUN0084A,42.5405,-77.9163,,,,,,
,Oppenheim Park Pond,Niagara,Niagara Falls,0101OPP5774,43.0936,-78.9037,,,,,,
30,Oquaga Lake,Broome,Deposit,1404OQU0383,42.0224,-75.4594,,,,,,
109,Orange Lake,Orange,Newburgh,1301ORA0340,41.5488,-74.1037,,,,,,
256,Otisco Lake,Onondaga,"Spafford, Otisco",0702OTI0175,42.8591,-76.2794,,,,,,
99,Otter Lake,Oneida,Forestport,0801OTT0926,43.5921,-75.1146,,,,,,
,Otter Lake-C,Cayuga,Cato,0701OTT0198,43.1401,-76.5331,,,,,,
61,Owasco Lake,Cayuga,"Owasco, Fleming, Niles, Moravia, Scipio",0706DUTXXX1,42.8619,-76.511,,,,,,
,Page Pond,Broome,Sanford,1404PAG0391,42.1426,-75.4822,,,,,,
246,Palmer Lake,Putnam,Carmel,1302PAL0061A,41.4387,-73.6734,,,,,,
103,Panther Lake,Oswego,Constantia,0703PAN0094,43.3292,-75.9087,,,,,,
184,Paradox Lake,Essex,Schroon Lake,1104PAR0432,43.883,-73.7111,,,,,,
184.2,Paradox Lake-Site 2,Essex,Schroon Lake,1104COT0436,43.879,-73.6643,,,,,,
,Parker Pond,Cayuga,Cato,0701PAR0197,43.1615,-76.5581,,,,,,
164,Peach Lake,Putnam/Westchester,Southeast,1302PEA0093,41.363,-73.58,,,,,,
100,Peck Lake,Fulton,Bleeker,1201PEC0686,43.1106,-74.4133,,,,,,
,Peconic Lake,Suffolk,Calverton,1701UWB5053,40.9167,-72.7222,,,,,,
,Pennellville Pond,Oswego,Pennellville,0703PEN0016,43.2854,-76.2677,,,,,,
20,Petonia Lake,Chenango,Greene,0602PET0078,42.3317,-75.7985,,,,,,
,Pine Lake,Essex,Minerva,1104PIN0655,43.8481,-74.2493,,,,,,
165,Piseco Lake,Hamilton,Arietta,1104PIS0234,43.4118,-74.5462,,,,,,
174,Pleasant Lake,Fulton,Stratford,1201PLE0745,43.1884,-74.5998,,,,,,
89,Pleasant Lake,Oswego,Schroeppel,0703PLE0019,43.2354,-76.2227,,,,,,
238,Pleasure Lake,Sullivan,Fallsburg,1402PLE0045,41.6961,-74.628,,,,,,
201,Plum Brook Lake,Westchester,Somers,1302UWB5115,41.3118,-73.7041,,,,,,
90,Plymouth Reservoir,Chenango,Plymouth,0602PLY0107,42.5881,-75.651,,,,,,
,Pocantico Lake,Westchester,Mount Pleasant,1301SWA0030A,41.1096,-73.8337,,,,,,
,Port Bay,Wayne,Wolcott,0302POR0089,43.2976,-76.8321,,,,,,
,Prospect Park Lake,Kings,Brooklyn,1701PRO0009,40.6549,-73.9699,,,,,,
,Pudding Street Pond,Putnam,"Kent, Putnam Valley",1301PUD5194,41.4429,-73.7894,,,,,,
239,Putnam Lake,Putnam,Patterson,1302PUT0093B,41.4664,-73.5396,,,,,,
,Quaker Lake,Cattaraugus,Coldspring,0201QUA5359,42.0433,-78.8678,,,,,,
52,Queechy Lake,Columbia,Canaan,1310QUE0057,42.4072,-73.4147,,,,,,
,Red House Lake,Cattaraugus,Red House,0201RED0095B,42.1028,-78.7446,,,,,,
,Rensselaer Lake,Albany,"Guilderland, Colonie",1301UWB0340,42.7014,-73.8319,,,,,,
225,Roaring Brook Lake,Putnam,Putnam Valley,1301ROA0183B,41.4388,-73.8075,,,,,,
59,Robinson Pond,Columbia,Copake,1308ROB0902,42.1181,-73.5553,,,,,,
,Rock Lake,Hamilton,,1104ROC0645,43.8453,-74.4385,,,,,,
,Rockland Lake,Rockland,Clarkstown,1501ROC0985,41.1386,-73.9228,,,,,,
,Rollins Pond,Franklin,Saranac Lake,1003ROL0168,44.3106,-74.4138,,,,,,
152,Rondaxe Lake,Herkimer,Webb,0801RON0739,43.767,-74.9013,,,,,,
,Round Lake,Onondaga,Manlius,0703ROU0148,43.0478,-75.9753,,,,,,
101,Round Lake,Orange,Monroe,1501ROU1021,41.3197,-74.2076,,,,,,
,Round Lake,Saratoga,Round Lake,1101ROU1089,42.934,-73.7829,,,,,,
91,Round Pond,Rensselaer,Berlin,1310ROU0080,42.6447,-73.4355,,,,,,
,Round Pond,Chenango,Smithville,0602ROU0082,42.3998,-75.8384,,,,,,
244,Rushford Lake,Allegany,"Rushford, Caneadea",0403RUS0146,42.3806,-78.1927,,,,,,
,Russ Gray Pond,Delaware,Walton,1404RUS0410,42.1222,-75.0955,,,,,,
27,Sacandaga Lake,Hamilton,Lake Pleasant,1104SAC0314,43.4806,-74.4217,,,,,,
114,Sagamore Lake,Putnam,Kent,1302SAG0076J,41.4732,-73.7809,,,,,,
,Sand Lake,,,,,,,,,,,
,Sanford Lake,Steuben,Bath,0502SAN0043,42.3309,-77.1784,,,,,,
104,Saratoga Lake,Saratoga,"Saratoga, Malta, Stillwater",1101SAR0027,43.0167,-73.7415,,,,,,
,Schaghticoke Reservoir,Rensselaer,Schaghticoke,1102UWB5124,42.8899,-73.5902,,,,,,
34,Schroon Lake,Essex,Schroon,1104UWB5418,43.8475,-73.7433,,,,,,
34.1,Schroon Lake-South,Warren,Horicon,1104SCH0374,43.7748,-73.778,,,,,,
,Science Lake,Cattaraugus,,0201SCI0090B,42.0111,-78.7662,,,,,,
92,Seneca Lake,Seneca,Geneva,0705SEN0369,42.6693,-76.8965,,,,,,
138,Sepasco Lake,Dutchess,Red Hook,1301SEP0826,41.9598,-73.8376,,,,,,
214,Shadow Lake,Westchester,Yorktown,1302SHA0128J,41.2082,-73.8192,,,,,,
1002,Shaver Pond,Rensselaer,Grafton,1308SHA0903,42.1175,-73.546,,,,,,
187,Shawangunk Lake,Orange,Mount Hope,1306SHA0491,41.4457,-74.5009,,,,,,
193,Shenorock Lake,Westchester,Somers,1302SHE0050A,41.3281,-73.7406,,,,,,
55,Silver Lake,Clinton,Hawkeye,1003SIL0073,44.5057,-73.8767,,,,,,
117,Silver Lake,St. Lawrence,Clifton,0904SIL0351,44.2269,-74.8266,,,,,,
25,Silver Lake,Wyoming,"Perry, Castille",0403SIL0115,42.6904,-78.0291,,,,,,
178,Sixberry Lake,Jefferson,Alexandria,0906SIX0056,44.2798,-75.775,,,,,,
139,Skaneateles Lake,"Cayuga, Cortland, Onondaga",Skaneateles,0707SKA0193,42.8451,-76.3503,,,,,,
223,Sleepy Hollow Lake,Greene,Athens,1301SLE6666,42.2944,-73.8069,,,,,,
190,Smith Pond,Steuben,Howard,0502SMI0066,42.3888,-77.4744,,,,,,
140,Snyders Lake,Rensselaer,North Greenbush,1301SNY0377,42.6631,-73.6347,,,,,,
49,Sodus Bay,Wayne,Sodus Point,0302SOD0096,43.2483,-76.9585,,,,,,
153,Somerset Lake,Delaware,Hamden,1401SOM0268,41.9102,-75.229,,,,,,
212,Song Lake,Cortland,Tully,0602SON0072,42.7723,-76.1469,,,,,,
,Southerland Pond,Columbia,Chatham,1310SUT0052,42.4013,-73.5686,,,,,,
,South Sandy Lake,Oswego,Pulaski,0303SOU0001,43.6234,-76.1904,,,,,,
118,Spitfire Lake,Franklin,Brighton,0902SPI0264,44.4164,-74.2728,,,,,,
154,Spring Lake,Rensselaer,Sand Lake,1310SPR0081,42.6535,-73.4215,,,,,,
110,Star Lake,St. Lawrence,Fine,0905STA0281,44.1568,-75.0449,,,,,,
,Steele Reservoir (Amsterdam Water Supply),Saratoga,Providence,1104STE0135,43.1573,-74.0549,,,,,,
,Stewarts Bridge Reservoir,Saratoga,,1104STE0126A,43.3064,-73.9038,,,,,,
,Stewarts Lake (Oswego?),,,,,,,,,,,
141,Stewarts Landing,Fulton,Stratford,1201WES0718,43.1701,-74.5411,,,,,,
,Stillwater Reservoir,Herkimer,Webb,0801UWB5205,43.9175,-75.0288,,,,,,
,Stillwell Lake,Orange,West Point,1301STI0187A,41.3459,-74.0392,,,,,,
213,Stissing Lake,Dutchess,Pine Plains,1305STI0409,41.9715,-73.6736,,,,,,
,Stony Creek Reservoir,Saratoga,Rexford,1201STO0503A,42.8073,-73.8162,,,,,,
,Sturgeon Pool,Ulster,Ulster Park,1306STU0453A,41.8436,-74.0426,,,,,,
227,Sugar Pond,Westchester,Greenburgh,1301UWB5186,40.9975,-73.8693,,,,,,
,Sugarloaf Pond,Saratoga,Waterford,1201SUG0472,42.7885,-73.6978,,,,,,
142,Summit Lake,Schoharie,Blenheim,1202SUM0629,42.5832,-74.5815,,,,,,
75,Summit Lake,Washington,Argyle,1103SUM0080,43.2102,-73.4632,,,,,,
,Sunset Lake,Madison,Oneida,0703SUN0120,43.0573,-75.6066,,,,,,
,Swinging Bridge Reservoir,Sullivan,Monticello,1401TWI0120A,41.6245,-74.7689,,,,,,
181,Taconic Pond,Rensselaer,Grafton,1102TAC1129,42.7355,-73.4127,,,,,,
259,Tanglewood Lake,Steuben,Thurston,0503TANXXX1,42.1936,-77.2511,,,,,,
143,Teatown Lake,Westchester,Yorktown,1302UWB0128A,41.2118,-73.8314,,,,,,
,The Lake in Central Park,New York,New York City,1301THE1029,40.7757,-73.9718,,,,,,
,The Lindsay-Parsons Biodiversity Preserve Lakes(s) (Coleman Lake)-not in DB yet?,Tompkins,Danby,0705UWB5898,42.3091,-76.5178,,,,,,
,The Pond,Cayuga,Sterling,0302THE0069,43.3427,-76.6983,,,,,,
,The Reservoir in Central Park,New York,New York City,1301CRO1033,40.786,-73.962,,,,,,
,Third Lake (Essex Chain),Essex,Minerva,1104THI0626A,43.8761,-74.2516,,,,,,
,Thirteenth Lake,Warren,,1104THI0540,43.7039,-74.1271,,,,,,
1004,Thompsons Lake,Albany,Berne,1311THO0274,42.6496,-74.0422,,,,,,
188,Timber Lake,Sullivan,Rockland,1403UWB0294B,41.9601,-74.8461,,,,,,
203,Timber Lake,Westchester,Lewisboro,1302UWB0044H,41.2939,-73.6631,,,,,,
,Tivoli Lake,Albany,Albany,1301TIV0309,42.6703,-73.7615,,,,,,
,Tomahawk Lake,Orange,Blooming Grove,1303TOM0240D,41.4092,-74.2234,,,,,,
,Tomhannock Reservoir,Rensselaer,Pittstown,1102TOM1095,42.8574,-73.5682,,,,,,
179,Tomkins Lake,Rockland,Stony Point,1301TOM0150I,41.2716,-73.9903,,,,,,
162,Truesdale Lake,Westchester,Lewisboro,1302TRU0115A,41.2817,-73.5534,,,,,,
,Troy Reservoir,Rensselaer,Brunswick,1101TRO0459,42.7646,-73.6341,,,,,,
234,Tully Lake,Cortland,Tully,0602TUL0068,42.7764,-76.1352,,,,,,
21,Tuscarora Lake,Madison,Erieville,0703TUS0153A,42.8665,-75.7586,,,,,,
222,Tuxedo Lake,Orange,Tuxedo,1501TUX1007,41.2015,-74.2058,,,,,,
16,Twitchell Lake,Herkimer,Big Moose,0801TWI0584,43.8473,-74.8873,,,,,,
211,Ulster Heights Lake,Ulster,Wawarsing,1306ULS0799,41.7727,-74.4896,,,,,,
,Union Falls Pond,Clinton,"Union Falls, Franklin?",1003UNI0074,44.4896,-73.9398,,,,,,
251,Unnamed Wallkill Pond,Ulster,,1306UWB0464B,41.6503,-74.2204,,,,,,
,Upper Cassadaga Lake,Chautauqua,,0202UCA0136,42.3574,-79.3256,,,,,,
65,Upper Chateaugay Lake,Clinton,Ellenburg,0902UCH0002,44.7412,-73.9676,,,,,,
224,Upper Little York Lake,Cortland,Homer,0602ULI0067,42.7033,-76.1558,,,,,,
208,Upper Saranac Lake,Franklin,Harrietstown,1003TAM0207,44.2706,-74.2928,,,,,,
208.1,Upper Saranac Lake-North,Franklin,Harrietstown,,,,,,,,,
208.2,Upper Saranac Lake-South,Franklin,Harrietstown,1003BRA0115,44.2858,-74.3597,,,,,,
144,Upper St. Regis Lake,Franklin,Harrietstown,0902USA0265,44.4075,-74.2779,,,,,,
,Upper Yaphank Lake,Suffolk,Yaphank,1701UPP0856,40.8431,-72.937,,,,,,
,Van Cleef Lake,Seneca,Seneca Falls,0705VAN0366A,42.9131,-76.7913,,,,,,
,Vly Creek Reservoir,Albany,Voorheesville,1301UWB6815,42.617,-73.9581,,,,,,
,Wakely Pond,Hamilton,,1104WAK0666,43.7396,-74.4677,,,,,,
197,Wallace Pond,Westchester,Cortlandt,1301WAL0165,41.3154,-73.9325,,,,,,
,Waneta Lake,Schuyler,Dundee,0502WAN0048,42.4447,-77.1007,,,,,,
,Wappinger Lake,Dutchess,Wappinger's Falls,1305WAP0365,41.6058,-73.9165,,,,,,
95,Warn Lake,Chenango,Oxford,0602WAR0094,42.3746,-75.6464,,,,,,
,Warners Lake,Albany,East Berne,1202WAR0609,42.6251,-74.0791,,,,,,
220,We Wah Lake,Orange,Tuxedo,1501WEE1005,41.2171,-74.1925,,,,,,
192,Weiden Pond,Sullivan,Tusten,1401SWA0211,41.5932,-74.9827,,,,,,
145,West Caroga Lake,Fulton,Caroga,1201WCA0698,43.1371,-74.4955,,,,,,
,West Mud Lake,Chautauqua,Forestville,0202WMU0145,42.4005,-79.1783,,,,,,
155,Whaley Lake,Dutchess,Pawling,1304WHA0353,41.5537,-73.6649,,,,,,
,Whetstone Marsh Pond,Lewis,Martinsburg,0801WHE5670,43.6721,-75.5086,,,,,,
119,White Birch Lake,Broome,Windsor,0601WHI5191,42.0404,-75.6368,,,,,,
,White Pond,Putnam,Kent,1302WHI0079,41.501,-73.7234,,,,,,
,Whitney Point Reservoir,Broome,Whitney Point,0602WHI5358,42.3661,-75.9772,,,,,,
,Whitney Pond,Oswego,Parish,0303WHI0048A,43.4338,-75.9893,,,,,,
,Wilcox Park Pond (S),Dutchess,Pine Plains,1308WILXXX1A,41.9556,-73.7277,,,,,,
,Willow Lake,Queens,Queens,1702WIL0100B,40.7235,-73.8332,,,,,,
,Wiltse Marsh Point Pond,Chautauqua,Panama,0202UWB5581,42.0873,-79.5261,,,,,,
,Winding Hills Park Lake,Orange,Crawford,1306UWB6107,41.5388,-74.2753,,,,,,
167,Windover Lake,Warren,Johnsburg,1104WIN0529A,43.6325,-74.0129,,,,,,
26,Wolf Lake,Sullivan,Wurtsboro,1402WOL0037,41.5866,-74.5881,,,,,,
,Woodhull Lake,Herkimer,Ohio,0801BLO0984,43.5974,-75.0249,,,,,,
,Woods Pond,Albany,Berne,1202WOO0605D,42.5673,-74.1828,,,,,,
206,Yankee Lake,Sullivan,Mamakating,1402YAN0021,41.585,-74.5531,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,0.1-1,,,,,,,,,
,,, 1-5,,,,,,,,,
,,, 5-10,,,,,,,,,
,,, 10-25,,,,,,,,,
,,, 25-50,,,,,,,,,
,,, 50-100,,,,,,,,,
,,, 100-250,,,,,,,,,
,,, 250-500,,,,,,,,,
,,, 500-1000,,,,,,,,,
,,,1000-2500,,,,,,,,,
,,,>2500,,,,,,,,,
